"CellType","marker"
"Exhausted CD8+ T cells","SENP1"
"Exhausted CD8+ T cells","AGAP2"
"Exhausted CD8+ T cells","APOBEC3F"
"Exhausted CD8+ T cells","INTS7"
"Exhausted CD8+ T cells","LINC00954"
"Exhausted CD8+ T cells","POLH"
"Exhausted CD8+ T cells","FANCD2"
"Exhausted CD8+ T cells","RMI2"
"Exhausted CD8+ T cells","NCAPG2"
"Exhausted CD8+ T cells","ZNF282"
"Exhausted CD8+ T cells","REEP2"
"Exhausted CD8+ T cells","TCEANC2"
"Exhausted CD8+ T cells","PDE6B"
"Exhausted CD8+ T cells","DLG3"
"Exhausted CD8+ T cells","ARHGEF19"
"Exhausted CD8+ T cells","IL2RA"
"Exhausted CD8+ T cells","TNFSF9"
"Exhausted CD8+ T cells","MXD3"
"Exhausted CD8+ T cells","ORC6"
"Exhausted CD8+ T cells","TNFSF14"
"Exhausted CD8+ T cells","BRCA2"
"Exhausted CD8+ T cells","MCM4"
"Exhausted CD8+ T cells","MS4A6A"
"Exhausted CD8+ T cells","CAMK4"
"Exhausted CD8+ T cells","CCRL2"
"Exhausted CD8+ T cells","AGFG2"
"Exhausted CD8+ T cells","LRRC45"
"Exhausted CD8+ T cells","LAT2"
"Exhausted CD8+ T cells","CD200"
"Exhausted CD8+ T cells","SPNS3"
"Exhausted CD8+ T cells","PRRG4"
"Exhausted CD8+ T cells","KCTD17"
"Exhausted CD8+ T cells","PLEK"
"Exhausted CD8+ T cells","LMCD1"
"Exhausted CD8+ T cells","GIMAP6"
"Exhausted CD8+ T cells","NCALD"
"Exhausted CD8+ T cells","PATL2"
"Exhausted CD8+ T cells","DBN1"
"Exhausted CD8+ T cells","UBASH3B"
"Exhausted CD8+ T cells","NAALADL1"
"Exhausted CD8+ T cells","FANCA"
"Exhausted CD8+ T cells","PRIM1"
"conventional dendritic cell","CD74"
"conventional dendritic cell","HLA-DPB1"
"conventional dendritic cell","HLA-DPA1"
"conventional dendritic cell","HLA-DQB1"
"conventional dendritic cell","HLA-DQA1"
"conventional dendritic cell","CD1C"
"conventional dendritic cell","CLEC10A"
"conventional dendritic cell","CD1E"
"conventional dendritic cell","CSF2RA"
"conventional dendritic cell","HLA-DRA"
"conventional dendritic cell","TMSB10"
"conventional dendritic cell","HLA-DRB1"
"conventional dendritic cell","CST3"
"conventional dendritic cell","HLA-DMA"
"conventional dendritic cell","PPA1"
"conventional dendritic cell","LGALS2"
"conventional dendritic cell","GDI2"
"conventional dendritic cell","CFP"
"conventional dendritic cell","PKIB"
"conventional dendritic cell","LYZ"
"conventional dendritic cell","GPR183"
"conventional dendritic cell","AIF1"
"conventional dendritic cell","COTL1"
"conventional dendritic cell","LST1"
"conventional dendritic cell","IL1B"
"conventional dendritic cell","C15orf48"
"conventional dendritic cell","FCN1"
"conventional dendritic cell","HLA-DMB"
"conventional dendritic cell","SPI1"
"conventional dendritic cell","MNDA"
"conventional dendritic cell","CPVL"
"conventional dendritic cell","MS4A7"
"conventional dendritic cell","CSTA"
"conventional dendritic cell","IFI30"
"conventional dendritic cell","IGSF6"
"conventional dendritic cell","FCGR2A"
"conventional dendritic cell","CLEC7A"
"conventional dendritic cell","HCK"
"conventional dendritic cell","OLR1"
"conventional dendritic cell","CD86"
"conventional dendritic cell","IL18"
"conventional dendritic cell","NCF2"
"conventional dendritic cell","FPR1"
"conventional dendritic cell","CSF3R"
"conventional dendritic cell","PAK1"
"conventional dendritic cell","CLEC4A"
"conventional dendritic cell","FPR3"
"conventional dendritic cell","OSCAR"
"conventional dendritic cell","G0S2"
"conventional dendritic cell","TYMP"
"conventional dendritic cell","GRN"
"conventional dendritic cell","MS4A6A"
"conventional dendritic cell","PLAUR"
"conventional dendritic cell","CTSZ"
"conventional dendritic cell","C1orf162"
"conventional dendritic cell","PLD4"
"conventional dendritic cell","YWHAH"
"conventional dendritic cell","CTSH"
"conventional dendritic cell","RNASE6"
"conventional dendritic cell","BCL2A1"
"conventional dendritic cell","FGL2"
"conventional dendritic cell","CXCL16"
"conventional dendritic cell","PPT1"
"conventional dendritic cell","LY86"
"conventional dendritic cell","SPIB"
"conventional dendritic cell","VSIG4"
"conventional dendritic cell","OGFRL1"
"conventional dendritic cell","FGR"
"conventional dendritic cell","CSF1R"
"conventional dendritic cell","IL1RN"
"conventional dendritic cell","SMCO4"
"conventional dendritic cell","SLC31A2"
"conventional dendritic cell","ZNF385A"
"conventional dendritic cell","CD33"
"conventional dendritic cell","P2RY13"
"conventional dendritic cell","ACTB"
"conventional dendritic cell","TYROBP"
"conventional dendritic cell","C1QC"
"conventional dendritic cell","SERPINA1"
"conventional dendritic cell","ARPC3"
"conventional dendritic cell","CD68"
"conventional dendritic cell","RGS10"
"conventional dendritic cell","SLC8A1"
"conventional dendritic cell","SGK1"
"conventional dendritic cell","NAMPT"
"conventional dendritic cell","PLEK"
"conventional dendritic cell","SERPINB1"
"conventional dendritic cell","LILRB4"
"conventional dendritic cell","CYBB"
"conventional dendritic cell","MPEG1"
"conventional dendritic cell","SAMHD1"
"conventional dendritic cell","MS4A4A"
"conventional dendritic cell","BID"
"conventional dendritic cell","ALOX5"
"conventional dendritic cell","LGALS9"
"conventional dendritic cell","LILRB2"
"conventional dendritic cell","PILRA"
"conventional dendritic cell","ATG3"
"conventional dendritic cell","PPIF"
"conventional dendritic cell","MXD1"
"conventional dendritic cell","IL1R2"
"conventional dendritic cell","LILRA5"
"conventional dendritic cell","KYNU"
"conventional dendritic cell","TREM1"
"conventional dendritic cell","C19orf38"
"conventional dendritic cell","LRRC25"
"conventional dendritic cell","ITGAX"
"conventional dendritic cell","VMO1"
"conventional dendritic cell","HLA-DOA"
"conventional dendritic cell","NAGA"
"conventional dendritic cell","RGS18"
"conventional dendritic cell","GPR84"
"conventional dendritic cell","CARD9"
"conventional dendritic cell","C1QA"
"conventional dendritic cell","AREG"
"conventional dendritic cell","FCER1G"
"conventional dendritic cell","VAMP8"
"conventional dendritic cell","IRF8"
"conventional dendritic cell","CD14"
"conventional dendritic cell","CD83"
"conventional dendritic cell","NR4A3"
"conventional dendritic cell","PYCARD"
"conventional dendritic cell","CCDC88A"
"conventional dendritic cell","ALDH2"
"conventional dendritic cell","INSIG1"
"conventional dendritic cell","TNFSF13B"
"conventional dendritic cell","EREG"
"conventional dendritic cell","IFNGR1"
"conventional dendritic cell","HBEGF"
"conventional dendritic cell","GCA"
"conventional dendritic cell","GAPT"
"conventional dendritic cell","IL4I1"
"conventional dendritic cell","NLRP3"
"conventional dendritic cell","RIPK2"
"conventional dendritic cell","ADAP2"
"conventional dendritic cell","P2RY6"
"conventional dendritic cell","CLIC2"
"conventional dendritic cell","TLR2"
"conventional dendritic cell","SIGLEC10"
"conventional dendritic cell","LILRA2"
"conventional dendritic cell","PRAM1"
"conventional dendritic cell","CD1D"
"conventional dendritic cell","CD180"
"conventional dendritic cell","CD300LF"
"conventional dendritic cell","FTH1"
"conventional dendritic cell","S100A9"
"conventional dendritic cell","S100A11"
"conventional dendritic cell","NPC2"
"conventional dendritic cell","CTSS"
"conventional dendritic cell","YBX1"
"conventional dendritic cell","CAPG"
"conventional dendritic cell","ITGB2"
"conventional dendritic cell","AP1S2"
"conventional dendritic cell","SPINT2"
"conventional dendritic cell","RASSF4"
"conventional dendritic cell","CD93"
"conventional dendritic cell","NDRG2"
"conventional dendritic cell","PHACTR1"
"conventional dendritic cell","CMTM6"
"conventional dendritic cell","THEMIS2"
"conventional dendritic cell","THBD"
"conventional dendritic cell","LYN"
"conventional dendritic cell","KCTD12"
"conventional dendritic cell","PEA15"
"conventional dendritic cell","MAP3K8"
"conventional dendritic cell","LAT2"
"conventional dendritic cell","GNA15"
"conventional dendritic cell","BTK"
"conventional dendritic cell","AXL"
"conventional dendritic cell","ADAM28"
"conventional dendritic cell","TBXAS1"
"conventional dendritic cell","DSE"
"conventional dendritic cell","IL13RA1"
"conventional dendritic cell","GK"
"conventional dendritic cell","PLBD1"
"conventional dendritic cell","SCIMP"
"conventional dendritic cell","KCNK6"
"conventional dendritic cell","PTAFR"
"conventional dendritic cell","CIITA"
"conventional dendritic cell","MYCL"
"conventional dendritic cell","S100B"
"conventional dendritic cell","S100A10"
"conventional dendritic cell","GSN"
"conventional dendritic cell","LSP1"
"conventional dendritic cell","KLF4"
"conventional dendritic cell","TGFBI"
"conventional dendritic cell","RAB31"
"conventional dendritic cell","PTPRE"
"conventional dendritic cell","SLC16A3"
"conventional dendritic cell","C1orf54"
"conventional dendritic cell","STX11"
"conventional dendritic cell","SLC7A7"
"conventional dendritic cell","CD300A"
"conventional dendritic cell","CLEC12A"
"conventional dendritic cell","WDFY4"
"conventional dendritic cell","FGD2"
"conventional dendritic cell","KCNMB1"
"conventional dendritic cell","SLAMF8"
"conventional dendritic cell","CST7"
"conventional dendritic cell","ETS2"
"conventional dendritic cell","FCGRT"
"conventional dendritic cell","PID1"
"conventional dendritic cell","BASP1"
"conventional dendritic cell","CD4"
"conventional dendritic cell","DNASE1L3"
"conventional dendritic cell","FCGR1A"
"conventional dendritic cell","SYK"
"conventional dendritic cell","LPCAT2"
"conventional dendritic cell","PADI2"
"conventional dendritic cell","FTL"
"conventional dendritic cell","SAT1"
"conventional dendritic cell","CEBPD"
"conventional dendritic cell","CKLF"
"conventional dendritic cell","PLXDC2"
"conventional dendritic cell","MEF2C"
"conventional dendritic cell","FBP1"
"conventional dendritic cell","CACNA2D3"
"conventional dendritic cell","RAB32"
"conventional dendritic cell","CSF2RB"
"conventional dendritic cell","CD302"
"conventional dendritic cell","LILRB1"
"conventional dendritic cell","PARM1"
"conventional dendritic cell","TFEC"
"conventional dendritic cell","TNNI2"
"conventional dendritic cell","HAVCR2"
"conventional dendritic cell","PTGS1"
"conventional dendritic cell","MCTP1"
"conventional dendritic cell","SCARF1"
"conventional dendritic cell","TMEM51"
"conventional dendritic cell","VASP"
"conventional dendritic cell","NFKB1"
"conventional dendritic cell","GPR157"
"conventional dendritic cell","ZMYND15"
"conventional dendritic cell","C1QB"
"conventional dendritic cell","PLSCR1"
"conventional dendritic cell","SERPINB9"
"conventional dendritic cell","CD163"
"conventional dendritic cell","C12orf45"
"conventional dendritic cell","NAAA"
"conventional dendritic cell","CLEC4E"
"conventional dendritic cell","LILRB3"
"conventional dendritic cell","BATF3"
"conventional dendritic cell","VDR"
"conventional dendritic cell","TSPAN33"
"conventional dendritic cell","SIGLEC9"
"conventional dendritic cell","PPM1J"
"conventional dendritic cell","TIFAB"
"conventional dendritic cell","S100A8"
"conventional dendritic cell","LITAF"
"conventional dendritic cell","ARPC5"
"conventional dendritic cell","EFHD2"
"conventional dendritic cell","SLC11A1"
"conventional dendritic cell","C5AR1"
"conventional dendritic cell","SDS"
"conventional dendritic cell","PLEKHO1"
"conventional dendritic cell","RETN"
"conventional dendritic cell","PSTPIP2"
"conventional dendritic cell","VASH1"
"conventional dendritic cell","SIGLEC7"
"conventional dendritic cell","PLB1"
"conventional dendritic cell","NFAM1"
"conventional dendritic cell","STAC3"
"conventional dendritic cell","MSR1"
"conventional dendritic cell","ATF5"
"conventional dendritic cell","B3GNT7"
"conventional dendritic cell","EBI3"
"conventional dendritic cell","ITGAM"
"conventional dendritic cell","EMILIN2"
"conventional dendritic cell","APOBR"
"conventional dendritic cell","ARL11"
"conventional dendritic cell","GNAO1"
"conventional dendritic cell","TVP23A"
"conventional dendritic cell","FAM72A"
"conventional dendritic cell","ASGR1"
"conventional dendritic cell","PTPRO"
"conventional dendritic cell","KBTBD8"
"conventional dendritic cell","SLC1A3"
"conventional dendritic cell","FLT1"
"conventional dendritic cell","DOCK4"
"conventional dendritic cell","IL3RA"
"conventional dendritic cell","SLAMF7"
"conventional dendritic cell","CCSER1"
"conventional dendritic cell","CCR6"
"conventional dendritic cell","ARHGAP22"
"conventional dendritic cell","NRGN"
"conventional dendritic cell","TM6SF1"
"conventional dendritic cell","SERPINF2"
"conventional dendritic cell","PALD1"
"conventional dendritic cell","PTGIR"
"conventional dendritic cell","SLC16A10"
"conventional dendritic cell","KIFC1"
"conventional dendritic cell","LMO2"
"conventional dendritic cell","ANPEP"
"conventional dendritic cell","ALDH3B1"
"conventional dendritic cell","EPB41L3"
"conventional dendritic cell","PXDC1"
"conventional dendritic cell","HIC1"
"conventional dendritic cell","BCL11A"
"conventional dendritic cell","CREB5"
"conventional dendritic cell","CD36"
"conventional dendritic cell","PTGS2"
"conventional dendritic cell","DAPK1"
"conventional dendritic cell","IRAK3"
"conventional dendritic cell","HRH2"
"conventional dendritic cell","ZNF467"
"conventional dendritic cell","PRKAR2B"
"conventional dendritic cell","CXorf21"
"conventional dendritic cell","SIRPA"
"conventional dendritic cell","TMSB4X"
"conventional dendritic cell","RPS24"
"conventional dendritic cell","MMP9"
"conventional dendritic cell","LRRFIP1"
"conventional dendritic cell","MAP2K1"
"conventional dendritic cell","HPS5"
"conventional dendritic cell","TUBA1B"
"conventional dendritic cell","SNX3"
"conventional dendritic cell","SLC25A5"
"conventional dendritic cell","SYNGR2"
"conventional dendritic cell","HMGA1"
"conventional dendritic cell","GLIPR1"
"conventional dendritic cell","SNX10"
"conventional dendritic cell","OPN3"
"conventional dendritic cell","IER5"
"conventional dendritic cell","C20orf27"
"conventional dendritic cell","ATP6V1B2"
"conventional dendritic cell","RPS6KA4"
"conventional dendritic cell","FUOM"
"conventional dendritic cell","STK38L"
"conventional dendritic cell","ADAM8"
"conventional dendritic cell","SLC43A2"
"conventional dendritic cell","APOBEC3A"
"conventional dendritic cell","ETV3"
"conventional dendritic cell","TPMT"
"conventional dendritic cell","NFKBIE"
"conventional dendritic cell","SLC25A19"
"conventional dendritic cell","SNX8"
"conventional dendritic cell","TNFAIP8L2"
"conventional dendritic cell","SLC12A9"
"conventional dendritic cell","AMPD2"
"conventional dendritic cell","SLC37A2"
"conventional dendritic cell","SCN9A"
"conventional dendritic cell","DGAT2"
"conventional dendritic cell","PLA2G7"
"conventional dendritic cell","GAS2L3"
"conventional dendritic cell","IL10"
"conventional dendritic cell","TMEM170B"
"conventional dendritic cell","KMO"
"conventional dendritic cell","LINC00528"
"conventional dendritic cell","CHRNE"
"conventional dendritic cell","FCGBP"
"conventional dendritic cell","ENHO"
"conventional dendritic cell","SEMA6B"
"conventional dendritic cell","HLX"
"conventional dendritic cell","IRAK2"
"conventional dendritic cell","PRR11"
"conventional dendritic cell","GPR34"
"conventional dendritic cell","ASB2"
"conventional dendritic cell","GPR35"
"conventional dendritic cell","ATP8B4"
"conventional dendritic cell","SLC41A2"
"conventional dendritic cell","RTN1"
"conventional dendritic cell","BHLHE41"
"conventional dendritic cell","HHEX"
"conventional dendritic cell","GHRL"
"conventional dendritic cell","C3AR1"
"conventional dendritic cell","RNF144B"
"conventional dendritic cell","CD72"
"conventional dendritic cell","FILIP1L"
"conventional dendritic cell","MOB3B"
"conventional dendritic cell","CLECL1"
"conventional dendritic cell","RASGRP3"
"conventional dendritic cell","SLC15A3"
"conventional dendritic cell","ST14"
"conventional dendritic cell","IMPA2"
"conventional dendritic cell","NRROS"
"conventional dendritic cell","BCAT1"
"conventional dendritic cell","TNFAIP2"
"conventional dendritic cell","RGS12"
"conventional dendritic cell","HNMT"
"conventional dendritic cell","B3GNT5"
"conventional dendritic cell","AOAH"
"conventional dendritic cell","FGD4"
"conventional dendritic cell","FES"
"conventional dendritic cell","GNGT2"
"conventional dendritic cell","ETV5"
"conventional dendritic cell","REL"
"conventional dendritic cell","NAP1L1"
"conventional dendritic cell","ATP1B3"
"conventional dendritic cell","SUMO3"
"conventional dendritic cell","BAZ1A"
"conventional dendritic cell","RALA"
"conventional dendritic cell","GNA13"
"conventional dendritic cell","DAPP1"
"conventional dendritic cell","UNC119"
"conventional dendritic cell","YIF1B"
"conventional dendritic cell","HPS1"
"conventional dendritic cell","UCHL3"
"conventional dendritic cell","THG1L"
"conventional dendritic cell","GZF1"
"conventional dendritic cell","AGER"
"conventional dendritic cell","C17orf107"
"conventional dendritic cell","SLX1A"
"conventional dendritic cell","KCNC3"
"conventional dendritic cell","LILRA4"
"conventional dendritic cell","KDM2B"
"conventional dendritic cell","SFTPD"
"conventional dendritic cell","PPM1N"
"conventional dendritic cell","TMEM191C"
"conventional dendritic cell","TMEM229B"
"conventional dendritic cell","DNAJC5B"
"conventional dendritic cell","STRADA"
"conventional dendritic cell","KIF17"
"conventional dendritic cell","HAMP"
"conventional dendritic cell","CDC20"
"conventional dendritic cell","CCNA2"
"conventional dendritic cell","GTSE1"
"conventional dendritic cell","ADORA3"
"conventional dendritic cell","ARHGAP11A"
"conventional dendritic cell","LACC1"
"conventional dendritic cell","NEURL1"
"conventional dendritic cell","NRIP3"
"conventional dendritic cell","CD101"
"conventional dendritic cell","SLCO5A1"
"conventional dendritic cell","RAVER1"
"conventional dendritic cell","NIPSNAP3B"
"conventional dendritic cell","ZGLP1"
"conventional dendritic cell","FOLR2"
"conventional dendritic cell","AURKB"
"conventional dendritic cell","MMP19"
"conventional dendritic cell","HMMR"
"conventional dendritic cell","MACC1"
"conventional dendritic cell","GCSAM"
"conventional dendritic cell","CASS4"
"conventional dendritic cell","ZBTB46"
"conventional dendritic cell","MPV17L"
"conventional dendritic cell","IBA57"
"conventional dendritic cell","ZNF85"
"conventional dendritic cell","MYLPF"
"conventional dendritic cell","SPAG5"
"conventional dendritic cell","ARNTL2"
"conventional dendritic cell","SH3D21"
"conventional dendritic cell","ABHD15"
"conventional dendritic cell","DSC2"
"conventional dendritic cell","SECTM1"
"conventional dendritic cell","ICOSLG"
"conventional dendritic cell","TLR1"
"conventional dendritic cell","RMI2"
"conventional dendritic cell","CA2"
"conventional dendritic cell","IL18BP"
"conventional dendritic cell","AFF3"
"conventional dendritic cell","OSM"
"conventional dendritic cell","MILR1"
"conventional dendritic cell","ENPP2"
"conventional dendritic cell","IL1R1"
"conventional dendritic cell","CHN2"
"conventional dendritic cell","RBM47"
"conventional dendritic cell","CCR7"
"conventional dendritic cell","MAFB"
"conventional dendritic cell","TMEM176A"
"conventional dendritic cell","PPP1R14A"
"conventional dendritic cell","GAS6"
"conventional dendritic cell","SULF2"
"conventional dendritic cell","RAB20"
"dendritic cell","CD74"
"dendritic cell","HLA-DPB1"
"dendritic cell","HLA-DPA1"
"dendritic cell","HLA-DQB1"
"dendritic cell","HLA-DQA1"
"dendritic cell","GPR183"
"dendritic cell","CD1C"
"dendritic cell","CLEC10A"
"dendritic cell","CD1E"
"dendritic cell","HLA-DRA"
"dendritic cell","HLA-DRB1"
"dendritic cell","HLA-DMA"
"dendritic cell","IRF8"
"dendritic cell","PLD4"
"dendritic cell","LILRA4"
"dendritic cell","LGALS2"
"dendritic cell","SPIB"
"dendritic cell","CFP"
"dendritic cell","PTCRA"
"dendritic cell","CSF2RA"
"dendritic cell","CST3"
"dendritic cell","LYZ"
"dendritic cell","AIF1"
"dendritic cell","LST1"
"dendritic cell","GRN"
"dendritic cell","IL1B"
"dendritic cell","C15orf48"
"dendritic cell","MS4A6A"
"dendritic cell","FCN1"
"dendritic cell","HLA-DMB"
"dendritic cell","SPI1"
"dendritic cell","MNDA"
"dendritic cell","RNASE6"
"dendritic cell","CPVL"
"dendritic cell","CSTA"
"dendritic cell","IFI30"
"dendritic cell","LILRB4"
"dendritic cell","IGSF6"
"dendritic cell","GDI2"
"dendritic cell","FCGR2A"
"dendritic cell","PKIB"
"dendritic cell","BID"
"dendritic cell","CLEC7A"
"dendritic cell","HCK"
"dendritic cell","CD86"
"dendritic cell","NCF2"
"dendritic cell","FPR1"
"dendritic cell","CLEC4A"
"dendritic cell","TYROBP"
"dendritic cell","AREG"
"dendritic cell","CD68"
"dendritic cell","CTSZ"
"dendritic cell","C1orf162"
"dendritic cell","MS4A7"
"dendritic cell","PLEK"
"dendritic cell","FGL2"
"dendritic cell","CYBB"
"dendritic cell","MPEG1"
"dendritic cell","CXCL16"
"dendritic cell","LY86"
"dendritic cell","OGFRL1"
"dendritic cell","THBD"
"dendritic cell","DNASE1L3"
"dendritic cell","MS4A4A"
"dendritic cell","OLR1"
"dendritic cell","LGALS9"
"dendritic cell","FGR"
"dendritic cell","CSF1R"
"dendritic cell","SMCO4"
"dendritic cell","LILRB2"
"dendritic cell","PAK1"
"dendritic cell","C12orf45"
"dendritic cell","LILRA5"
"dendritic cell","KYNU"
"dendritic cell","P2RY6"
"dendritic cell","CD33"
"dendritic cell","RGS18"
"dendritic cell","P2RY13"
"dendritic cell","TMSB10"
"dendritic cell","FCER1G"
"dendritic cell","SERPINA1"
"dendritic cell","VAMP8"
"dendritic cell","PLAUR"
"dendritic cell","CD83"
"dendritic cell","CTSH"
"dendritic cell","PPA1"
"dendritic cell","NR4A3"
"dendritic cell","PYCARD"
"dendritic cell","BCL2A1"
"dendritic cell","CCDC88A"
"dendritic cell","ALDH2"
"dendritic cell","TNFSF13B"
"dendritic cell","ALOX5"
"dendritic cell","IL18"
"dendritic cell","GCA"
"dendritic cell","GAPT"
"dendritic cell","IL1R2"
"dendritic cell","NLRP3"
"dendritic cell","SLC31A2"
"dendritic cell","LRRC25"
"dendritic cell","ZNF385A"
"dendritic cell","ITGAX"
"dendritic cell","VMO1"
"dendritic cell","HLA-DOA"
"dendritic cell","WDFY4"
"dendritic cell","PRAM1"
"dendritic cell","C1QA"
"dendritic cell","COTL1"
"dendritic cell","CTSS"
"dendritic cell","SERPINF1"
"dendritic cell","G0S2"
"dendritic cell","TYMP"
"dendritic cell","ARPC3"
"dendritic cell","AP1S2"
"dendritic cell","YWHAH"
"dendritic cell","PHACTR1"
"dendritic cell","SAMHD1"
"dendritic cell","PPT1"
"dendritic cell","VSIG4"
"dendritic cell","THEMIS2"
"dendritic cell","GNA15"
"dendritic cell","BTK"
"dendritic cell","AXL"
"dendritic cell","CSF3R"
"dendritic cell","PILRA"
"dendritic cell","CIITA"
"dendritic cell","SIGLEC10"
"dendritic cell","LILRA2"
"dendritic cell","CD1D"
"dendritic cell","S100B"
"dendritic cell","CYBA"
"dendritic cell","NPC2"
"dendritic cell","PLAC8"
"dendritic cell","CAPG"
"dendritic cell","LSP1"
"dendritic cell","RNASET2"
"dendritic cell","SPINT2"
"dendritic cell","KLF4"
"dendritic cell","SGK1"
"dendritic cell","TGFBI"
"dendritic cell","PTPRE"
"dendritic cell","CD4"
"dendritic cell","BCL11A"
"dendritic cell","C1orf54"
"dendritic cell","RAB32"
"dendritic cell","OPN3"
"dendritic cell","CD300A"
"dendritic cell","DSE"
"dendritic cell","IL13RA1"
"dendritic cell","ADAP2"
"dendritic cell","SCIMP"
"dendritic cell","FPR3"
"dendritic cell","FGD2"
"dendritic cell","KCNMB1"
"dendritic cell","CLIC2"
"dendritic cell","FTH1"
"dendritic cell","GZMB"
"dendritic cell","ALOX5AP"
"dendritic cell","SLC8A1"
"dendritic cell","RNF130"
"dendritic cell","RAB31"
"dendritic cell","SERPINB1"
"dendritic cell","MGST2"
"dendritic cell","IFNGR1"
"dendritic cell","LAT2"
"dendritic cell","ADAM28"
"dendritic cell","TBXAS1"
"dendritic cell","FCGR1A"
"dendritic cell","SYK"
"dendritic cell","CD302"
"dendritic cell","C19orf38"
"dendritic cell","CLEC4E"
"dendritic cell","LILRB3"
"dendritic cell","TLR2"
"dendritic cell","SLAMF8"
"dendritic cell","CARD9"
"dendritic cell","SAT1"
"dendritic cell","GSN"
"dendritic cell","CST7"
"dendritic cell","FCGRT"
"dendritic cell","CDKN1A"
"dendritic cell","BRI3"
"dendritic cell","AP2S1"
"dendritic cell","FBP1"
"dendritic cell","IL3RA"
"dendritic cell","LY96"
"dendritic cell","ETS2"
"dendritic cell","BASP1"
"dendritic cell","GAS6"
"dendritic cell","LYN"
"dendritic cell","PEA15"
"dendritic cell","PLBD1"
"dendritic cell","CXorf21"
"dendritic cell","LILRB1"
"dendritic cell","TNNI2"
"dendritic cell","PID1"
"dendritic cell","MEF2C"
"dendritic cell","CSF2RB"
"dendritic cell","FTL"
"dendritic cell","ITGB2"
"dendritic cell","CEBPD"
"dendritic cell","IRF4"
"dendritic cell","ARL4C"
"dendritic cell","PPP1R14A"
"dendritic cell","HAVCR2"
"dendritic cell","MCTP1"
"dendritic cell","CLEC12A"
"dendritic cell","SERPINF2"
"dendritic cell","TMEM51"
"dendritic cell","C1QB"
"dendritic cell","LTB"
"dendritic cell","TMEM176B"
"dendritic cell","RGS10"
"dendritic cell","SYNGR2"
"dendritic cell","NDRG2"
"dendritic cell","CXCR3"
"dendritic cell","KCTD12"
"dendritic cell","MOB3B"
"dendritic cell","SLAMF7"
"dendritic cell","PTGS1"
"dendritic cell","LMO2"
"dendritic cell","SH2B3"
"dendritic cell","PTAFR"
"dendritic cell","PARM1"
"dendritic cell","APOBR"
"dendritic cell","PALD1"
"dendritic cell","HLX"
"dendritic cell","CLN8"
"dendritic cell","GPR157"
"dendritic cell","SEC61B"
"dendritic cell","IL4I1"
"dendritic cell","ETV3"
"dendritic cell","GPR84"
"dendritic cell","PPM1J"
"dendritic cell","TIFAB"
"dendritic cell","C1QC"
"dendritic cell","INSIG1"
"dendritic cell","SERPINB9"
"dendritic cell","CD163"
"dendritic cell","IL1RN"
"dendritic cell","DBNL"
"dendritic cell","ATG3"
"dendritic cell","NFKB1"
"dendritic cell","PLEKHO1"
"dendritic cell","NAAA"
"dendritic cell","NAGA"
"dendritic cell","OSCAR"
"dendritic cell","BATF3"
"dendritic cell","TSPAN33"
"dendritic cell","S100A8"
"dendritic cell","DERL3"
"dendritic cell","RGS2"
"dendritic cell","IRF7"
"dendritic cell","CD14"
"dendritic cell","ARPC5"
"dendritic cell","DUSP5"
"dendritic cell","EREG"
"dendritic cell","MAP3K8"
"dendritic cell","TPP1"
"dendritic cell","ATF5"
"dendritic cell","SDS"
"dendritic cell","PPIF"
"dendritic cell","RETN"
"dendritic cell","CLECL1"
"dendritic cell","TREM1"
"dendritic cell","RNF144B"
"dendritic cell","KCNK6"
"dendritic cell","SCN9A"
"dendritic cell","SCARF1"
"dendritic cell","CD300LF"
"dendritic cell","ICOSLG"
"dendritic cell","STAC3"
"dendritic cell","SIGLEC7"
"dendritic cell","CD93"
"dendritic cell","CIB2"
"dendritic cell","MYCL"
"dendritic cell","ARL11"
"dendritic cell","SLC11A1"
"dendritic cell","C5AR1"
"dendritic cell","LINC00996"
"dendritic cell","LAMP5"
"dendritic cell","EBI3"
"dendritic cell","SMPD3"
"dendritic cell","GNAO1"
"dendritic cell","SCAMP5"
"dendritic cell","SLC7A11"
"dendritic cell","TFEC"
"dendritic cell","PTPRO"
"dendritic cell","PADI2"
"dendritic cell","KBTBD8"
"dendritic cell","CACNA2D3"
"dendritic cell","NOTCH4"
"dendritic cell","CD36"
"dendritic cell","MSR1"
"dendritic cell","CCR6"
"dendritic cell","DSC2"
"dendritic cell","PTGIR"
"dendritic cell","SLC1A3"
"dendritic cell","PTGS2"
"dendritic cell","EGLN3"
"dendritic cell","BLNK"
"dendritic cell","ARHGAP22"
"dendritic cell","ITGAM"
"dendritic cell","TM6SF1"
"dendritic cell","ZNF710"
"dendritic cell","SH3BP4"
"dendritic cell","HIC1"
"dendritic cell","MACC1"
"dendritic cell","SLC41A2"
"dendritic cell","TLR1"
"dendritic cell","ENPP2"
"dendritic cell","DAPK1"
"dendritic cell","ANPEP"
"dendritic cell","EPB41L3"
"dendritic cell","PXDC1"
"dendritic cell","SLC9A7"
"dendritic cell","ZNF467"
"dendritic cell","PTPRS"
"dendritic cell","CREB5"
"dendritic cell","IRAK3"
"dendritic cell","HRH2"
"dendritic cell","VASH1"
"dendritic cell","IL18BP"
"dendritic cell","TNFAIP2"
"dendritic cell","SLC7A7"
"dendritic cell","LPCAT2"
"dendritic cell","SLC15A3"
"dendritic cell","ST14"
"dendritic cell","SIRPA"
